data;miesiac;oddzial;nr_transakcji;sku;nazwa_produktu;kategoria;ilosc;cena_jedn;cena_katalogowa;rabat;wartosc_brutto
2025-01-03;2025-01;Warszawa;WAW/2025/00365;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;3;84,15;99,0;tak;252,45
2025-01-04;2025-01;Kraków;;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;80,75;95,0;tak;80,75
2025-01-04;2025-01;Kraków;;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;1;149,0;149,0;nie;149,0
2025-01-04;2025-01;Kraków;;AKC-003;Młynek ręczny stalowy;Akcesoria;1;189,0;189,0;nie;189,0
2025-01-04;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;2;42,0;42,0;nie;84,0
2025-01-04;2025-01;Warszawa;WAW/2025/00233;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-04;2025-01;Warszawa;WAW/2025/00284;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-05;2025-01;Gdańsk;GDA-0244;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;4;89,0;89,0;nie;356,0
2025-01-05;2025-01;Warszawa;WAW/2025/00081;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;75,65;89,0;tak;75,65
2025-01-05;2025-01;Warszawa;WAW/2025/00296;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-05;2025-01;Warszawa;WAW/2025/00421;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;3;39,0;39,0;nie;117,0
2025-01-06;2025-01;Gdańsk;GDA-0011;HER-006;Matcha ceremonialna 30 g;Herbata;2;69,0;69,0;nie;138,0
2025-01-06;2025-01;Gdańsk;GDA-0047;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;1;34,0;34,0;nie;34,0
2025-01-06;2025-01;Gdańsk;GDA-0054;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;4;39,0;39,0;nie;156,0
2025-01-06;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-06;2025-01;Warszawa;WAW/2025/00132;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-07;2025-01;Gdańsk;GDA-0003;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;84,15;99,0;tak;84,15
2025-01-07;2025-01;Gdańsk;GDA-0035;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-07;2025-01;Gdańsk;GDA-0101;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-07;2025-01;Gdańsk;GDA-0103;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;2;149,0;149,0;nie;298,0
2025-01-07;2025-01;Gdańsk;GDA-0127;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-07;2025-01;Kraków;;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-07;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-07;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-07;2025-01;Warszawa;WAW/2025/00393;HER-006;Matcha ceremonialna 30 g;Herbata;1;69,0;69,0;nie;69,0
2025-01-08;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-08;2025-01;Kraków;;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-09;2025-01;Gdańsk;GDA-0076;HER-001;Herbata czarna Assam 100 g;Herbata;1;24,0;24,0;nie;24,0
2025-01-09;2025-01;Gdańsk;GDA-0142;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-09;2025-01;Gdańsk;GDA-0157;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;2;80,75;95,0;tak;161,5
2025-01-09;2025-01;Gdańsk;GDA-0188;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;1;34,0;34,0;nie;34,0
2025-01-09;2025-01;Gdańsk;GDA-0278;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-09;2025-01;Kraków;;HER-006;Matcha ceremonialna 30 g;Herbata;1;69,0;69,0;nie;69,0
2025-01-09;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;3;89,0;89,0;nie;267,0
2025-01-09;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-09;2025-01;Kraków;;HER-005;Yerba Mate Klasyczna 500 g;Herbata;3;32,0;32,0;nie;96,0
2025-01-09;2025-01;Warszawa;WAW/2025/00137;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;6;19,0;19,0;nie;114,0
2025-01-09;2025-01;Warszawa;WAW/2025/00190;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;30,6;36,0;tak;30,6
2025-01-09;2025-01;Warszawa;WAW/2025/00275;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;3;49,0;49,0;nie;147,0
2025-01-09;2025-01;Warszawa;WAW/2025/00349;KAW-099;;Brak w katalogu;2;55,0;;nie;110,0
2025-01-09;2025-01;Warszawa;WAW/2025/00376;HER-006;Matcha ceremonialna 30 g;Herbata;4;69,0;69,0;nie;276,0
2025-01-09;2025-01;Warszawa;WAW/2025/00429;HER-001;Herbata czarna Assam 100 g;Herbata;2;24,0;24,0;nie;48,0
2025-01-10;2025-01;Gdańsk;GDA-0160;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-10;2025-01;Gdańsk;GDA-0164;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-10;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;2;30,6;36,0;tak;61,2
2025-01-10;2025-01;Kraków;;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;4;39,0;39,0;nie;156,0
2025-01-10;2025-01;Warszawa;WAW/2025/00188;HER-002;Herbata zielona Sencha 100 g;Herbata;1;29,0;29,0;nie;29,0
2025-01-10;2025-01;Warszawa;WAW/2025/00220;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-10;2025-01;Warszawa;WAW/2025/00244;AKC-001;Drip V60 ceramiczny;Akcesoria;4;119,0;119,0;nie;476,0
2025-01-10;2025-01;Warszawa;WAW/2025/00375;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;1;149,0;149,0;nie;149,0
2025-01-11;2025-01;Gdańsk;GDA-0241;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;1;49,0;49,0;nie;49,0
2025-01-11;2025-01;Kraków;;HER-005;Yerba Mate Klasyczna 500 g;Herbata;6;32,0;32,0;nie;192,0
2025-01-11;2025-01;Kraków;;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-11;2025-01;Kraków;;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;2;49,0;49,0;nie;98,0
2025-01-11;2025-01;Kraków;;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-11;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-11;2025-01;Warszawa;WAW/2025/00142;KAW-099;;Brak w katalogu;4;55,0;;nie;220,0
2025-01-11;2025-01;Warszawa;WAW/2025/00340;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;2;19,0;19,0;nie;38,0
2025-01-11;2025-01;Warszawa;WAW/2025/00360;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;6;42,0;42,0;nie;252,0
2025-01-12;2025-01;Gdańsk;GDA-0064;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;4;19,0;19,0;nie;76,0
2025-01-12;2025-01;Gdańsk;GDA-0289;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-12;2025-01;Kraków;;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-12;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;4;89,0;89,0;nie;356,0
2025-01-12;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;3;36,0;36,0;nie;108,0
2025-01-12;2025-01;Warszawa;WAW/2025/00078;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-12;2025-01;Warszawa;WAW/2025/00106;HER-002;Herbata zielona Sencha 100 g;Herbata;1;24,65;29,0;tak;24,65
2025-01-12;2025-01;Warszawa;WAW/2025/00323;AKC-003;Młynek ręczny stalowy;Akcesoria;6;189,0;189,0;nie;1134,0
2025-01-12;2025-01;Warszawa;WAW/2025/00418;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;2;99,0;99,0;nie;198,0
2025-01-13;2025-01;Gdańsk;GDA-0055;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-13;2025-01;Gdańsk;GDA-0111;KAW-007;Kapsułki Lungo 30 szt.;Kawa;2;36,0;36,0;nie;72,0
2025-01-13;2025-01;Gdańsk;GDA-0193;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;4;49,0;49,0;nie;196,0
2025-01-13;2025-01;Gdańsk;GDA-0283;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-13;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-13;2025-01;Kraków;;HER-002;Herbata zielona Sencha 100 g;Herbata;4;29,0;29,0;nie;116,0
2025-01-13;2025-01;Warszawa;WAW/2025/00079;AKC-003;Młynek ręczny stalowy;Akcesoria;1;189,0;189,0;nie;189,0
2025-01-14;2025-01;Kraków;;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-14;2025-01;Warszawa;WAW/2025/00193;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-15;2025-01;Gdańsk;GDA-0005;HER-006;Matcha ceremonialna 30 g;Herbata;1;69,0;69,0;nie;69,0
2025-01-15;2025-01;Gdańsk;GDA-0108;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-15;2025-01;Gdańsk;GDA-0117;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;75,65;89,0;tak;75,65
2025-01-15;2025-01;Gdańsk;GDA-0123;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;1;149,0;149,0;nie;149,0
2025-01-15;2025-01;Gdańsk;GDA-0293;KAW-007;Kapsułki Lungo 30 szt.;Kawa;2;36,0;36,0;nie;72,0
2025-01-15;2025-01;Gdańsk;GDA-0295;HER-006;Matcha ceremonialna 30 g;Herbata;1;69,0;69,0;nie;69,0
2025-01-15;2025-01;Kraków;;HER-001;Herbata czarna Assam 100 g;Herbata;3;20,4;24,0;tak;61,2
2025-01-15;2025-01;Kraków;;HER-005;Yerba Mate Klasyczna 500 g;Herbata;2;27,2;32,0;tak;54,4
2025-01-15;2025-01;Kraków;;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;3;95,0;95,0;nie;285,0
2025-01-15;2025-01;Kraków;;AKC-005;Kubek termiczny 350 ml;Akcesoria;6;59,0;59,0;nie;354,0
2025-01-15;2025-01;Kraków;;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;3;84,15;99,0;tak;252,45
2025-01-15;2025-01;Warszawa;WAW/2025/00155;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-15;2025-01;Warszawa;WAW/2025/00238;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;2;42,0;42,0;nie;84,0
2025-01-15;2025-01;Warszawa;WAW/2025/00364;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-15;2025-01;Warszawa;WAW/2025/00383;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;1;41,65;49,0;tak;41,65
2025-01-16;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-16;2025-01;Warszawa;WAW/2025/00016;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;2;49,0;49,0;nie;98,0
2025-01-16;2025-01;Warszawa;WAW/2025/00355;HER-002;Herbata zielona Sencha 100 g;Herbata;2;29,0;29,0;nie;58,0
2025-01-17;2025-01;Gdańsk;GDA-0081;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-17;2025-01;Gdańsk;GDA-0218;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-17;2025-01;Kraków;;HER-002;Herbata zielona Sencha 100 g;Herbata;4;29,0;29,0;nie;116,0
2025-01-17;2025-01;Kraków;;AKC-002;Filtry papierowe V60 100 szt.;Akcesoria;1;25,0;25,0;nie;25,0
2025-01-17;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-17;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;2;36,0;36,0;nie;72,0
2025-01-17;2025-01;Kraków;;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;1;41,65;49,0;tak;41,65
2025-01-17;2025-01;Warszawa;WAW/2025/00059;HER-001;Herbata czarna Assam 100 g;Herbata;1;24,0;24,0;nie;24,0
2025-01-17;2025-01;Warszawa;WAW/2025/00165;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-17;2025-01;Warszawa;WAW/2025/00174;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-17;2025-01;Warszawa;WAW/2025/00181;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;1;149,0;149,0;nie;149,0
2025-01-17;2025-01;Warszawa;WAW/2025/00366;KAW-007;Kapsułki Lungo 30 szt.;Kawa;3;36,0;36,0;nie;108,0
2025-01-17;2025-01;Warszawa;WAW/2025/00377;HER-002;Herbata zielona Sencha 100 g;Herbata;2;29,0;29,0;nie;58,0
2025-01-18;2025-01;Gdańsk;GDA-0020;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-18;2025-01;Gdańsk;GDA-0189;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-18;2025-01;Kraków;;HER-001;Herbata czarna Assam 100 g;Herbata;2;24,0;24,0;nie;48,0
2025-01-18;2025-01;Kraków;;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;1;34,0;34,0;nie;34,0
2025-01-18;2025-01;Kraków;;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;2;75,65;89,0;tak;151,3
2025-01-18;2025-01;Warszawa;WAW/2025/00015;AKC-004;French press 1 l;Akcesoria;2;79,0;79,0;nie;158,0
2025-01-18;2025-01;Warszawa;WAW/2025/00199;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;6;99,0;99,0;nie;594,0
2025-01-18;2025-01;Warszawa;WAW/2025/00459;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-18;2025-01;Warszawa;WAW/2025/00480;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-19;2025-01;Gdańsk;GDA-0027;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;33,15;39,0;tak;33,15
2025-01-19;2025-01;Gdańsk;GDA-0094;KAW-007;Kapsułki Lungo 30 szt.;Kawa;3;36,0;36,0;nie;108,0
2025-01-19;2025-01;Gdańsk;GDA-0249;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-19;2025-01;Kraków;;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-19;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;6;36,0;36,0;nie;216,0
2025-01-19;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-19;2025-01;Warszawa;WAW/2025/00012;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-19;2025-01;Warszawa;WAW/2025/00075;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;75,65;89,0;tak;75,65
2025-01-20;2025-01;Gdańsk;GDA-0128;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;2;41,65;49,0;tak;83,3
2025-01-20;2025-01;Gdańsk;GDA-0290;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;2;89,0;89,0;nie;178,0
2025-01-20;2025-01;Kraków;;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;3;95,0;95,0;nie;285,0
2025-01-20;2025-01;Warszawa;WAW/2025/00113;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;4;42,0;42,0;nie;168,0
2025-01-20;2025-01;Warszawa;WAW/2025/00120;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-20;2025-01;Warszawa;WAW/2025/00185;HER-006;Matcha ceremonialna 30 g;Herbata;1;69,0;69,0;nie;69,0
2025-01-20;2025-01;Warszawa;WAW/2025/00322;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-20;2025-01;Warszawa;WAW/2025/00463;KAW-007;Kapsułki Lungo 30 szt.;Kawa;3;36,0;36,0;nie;108,0
2025-01-21;2025-01;Kraków;;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;3;28,9;34,0;tak;86,7
2025-01-21;2025-01;Kraków;;HER-006;Matcha ceremonialna 30 g;Herbata;1;69,0;69,0;nie;69,0
2025-01-21;2025-01;Warszawa;WAW/2025/00020;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-21;2025-01;Warszawa;WAW/2025/00160;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-22;2025-01;Gdańsk;GDA-0174;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;1;34,0;34,0;nie;34,0
2025-01-22;2025-01;Gdańsk;GDA-0255;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-22;2025-01;Warszawa;WAW/2025/00247;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-23;2025-01;Gdańsk;GDA-0194;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;2;149,0;149,0;nie;298,0
2025-01-23;2025-01;Kraków;;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;2;99,0;99,0;nie;198,0
2025-01-23;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-23;2025-01;Warszawa;WAW/2025/00162;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;4;99,0;99,0;nie;396,0
2025-01-23;2025-01;Warszawa;WAW/2025/00482;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;6;39,0;39,0;nie;234,0
2025-01-23;2025-01;Warszawa;WAW/2025/00495;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;1;19,0;19,0;nie;19,0
2025-01-24;2025-01;Gdańsk;GDA-0015;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-24;2025-01;Gdańsk;GDA-0281;KAW-007;Kapsułki Lungo 30 szt.;Kawa;2;36,0;36,0;nie;72,0
2025-01-24;2025-01;Kraków;;HER-001;Herbata czarna Assam 100 g;Herbata;2;24,0;24,0;nie;48,0
2025-01-24;2025-01;Kraków;;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;1;16,15;19,0;tak;16,15
2025-01-24;2025-01;Kraków;;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;2;49,0;49,0;nie;98,0
2025-01-24;2025-01;Warszawa;WAW/2025/00131;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-24;2025-01;Warszawa;WAW/2025/00265;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;1;49,0;49,0;nie;49,0
2025-01-24;2025-01;Warszawa;WAW/2025/00368;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;2;34,0;34,0;nie;68,0
2025-01-24;2025-01;Warszawa;WAW/2025/00378;KAW-007;Kapsułki Lungo 30 szt.;Kawa;4;36,0;36,0;nie;144,0
2025-01-24;2025-01;Warszawa;WAW/2025/00517;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;2;49,0;49,0;nie;98,0
2025-01-25;2025-01;Gdańsk;GDA-0107;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;39,0;39,0;nie;39,0
2025-01-25;2025-01;Gdańsk;GDA-0262;HER-005;Yerba Mate Klasyczna 500 g;Herbata;2;32,0;32,0;nie;64,0
2025-01-25;2025-01;Kraków;;HER-002;Herbata zielona Sencha 100 g;Herbata;1;29,0;29,0;nie;29,0
2025-01-25;2025-01;Kraków;;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-25;2025-01;Kraków;;HER-005;Yerba Mate Klasyczna 500 g;Herbata;1;32,0;32,0;nie;32,0
2025-01-25;2025-01;Warszawa;WAW/2025/00002;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;Kawa;1;89,0;89,0;nie;89,0
2025-01-25;2025-01;Warszawa;WAW/2025/00176;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;1;149,0;149,0;nie;149,0
2025-01-25;2025-01;Warszawa;WAW/2025/00372;AKC-007;Czajnik z gęsią szyjką 1 l;Akcesoria;1;149,0;149,0;nie;149,0
2025-01-25;2025-01;Warszawa;WAW/2025/00389;KAW-005;Kawa bezkofeinowa Meksyk 250 g;Kawa;1;33,15;39,0;tak;33,15
2025-01-26;2025-01;Gdańsk;GDA-0082;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-26;2025-01;Gdańsk;GDA-0211;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;Kawa;1;95,0;95,0;nie;95,0
2025-01-26;2025-01;Gdańsk;GDA-0219;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
